codigo;nombre
05;Antioquia                               
08;Atlántico                               
11;Bogotá, D.C.                            
13;Bolívar                                 
15;BOYACA                                  
17;CALCAS                                  
18;CAQUETA                                 
19;Cauca                                   
20;Cesar                                   
23;Córdoba                                 
25;Cundinamarca                            
27;CHOCO                                   
41;HUILA                                   
44;La Guajira                              
47;Magdalena                               
50;META                                    
52;NARIÑO                                  
54;NORTE DE SANTANDER                      
63;QUINDIO                                 
66;Risaralda                               
68;Santander                               
70;Sucre                                   
73;TOLIMA                                  
76;VALLE DEL CAUCA                         
81;ARAUCA                                  
85;CASANARE                                
86;Putumayo                                
88;SAN ANDRES Y PROVIDENCIA                
91;AMAZONAS                                
94;Guainía                                 
95;GUAVIARES                               
97;VAUPES                                  
99;VICHADA                                 
